Time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA220
2012-12-30,20:32:00,4318.5,4318.5,4318.5,4318.5,3,4318.98191675796,4319.08280374768,4319.98158826067
2012-12-30,20:33:00,4318.5,4318.5,4318.5,4318.5,2,4318.88553340637,4319.0298215888,4319.96818022211
2012-12-30,20:34:00,4318.5,4318.5,4318.5,4318.5,1,4318.8084267251,4318.98165598982,4319.95489352327
2012-12-30,20:35:00,4318.25,4318.25,4318.25,4318.25,2,4318.69674138008,4318.91514180892,4319.93946462261
2012-12-30,20:36:00,4318,4318,4317.25,4317.25,57,4318.40739310406,4318.76376528084,4319.91512557625
2012-12-30,20:37:00,4317.25,4318.5,4317.25,4318.5,8,4318.42591448325,4318.73978661894,4319.90231900995
2012-12-30,20:38:00,4319,4319,4318.75,4318.75,10,4318.4907315866,4318.74071510813,4319.89189078361
2012-12-30,20:41:00,4319.5,4319.75,4319.25,4319.25,11,4318.64258526928,4318.78701373466,4319.88608181725
2012-12-30,20:42:00,4319.5,4320.25,4319.5,4320.25,9,4318.96406821543,4318.92001248606,4319.88937519447
2012-12-30,20:44:00,4320.5,4320.5,4320.5,4320.5,5,4319.27125457234,4319.0636477146,4319.89490121081
2012-12-30,20:45:00,4320.75,4320.75,4320.75,4320.75,4,4319.56700365787,4319.21695246782,4319.90263966139
2012-12-30,20:47:00,4320.5,4320.5,4320.5,4320.5,1,4319.7536029263,4319.33359315256,4319.9080456373
2012-12-30,20:48:00,4321,4321,4320.75,4320.75,4,4319.95288234104,4319.46235741142,4319.9156651338
2012-12-30,20:49:00,4320.75,4321,4320.75,4321,4,4320.16230587283,4319.60214310129,4319.92547811901
2012-12-30,20:50:00,4321,4321.25,4321,4321.25,11,4320.37984469827,4319.7519482739,4319.93746474237
2012-12-30,20:51:00,4321.25,4321.5,4321,4321.25,13,4320.55387575861,4319.88813479446,4319.9493428895
2012-12-30,20:52:00,4321.25,4321.25,4321,4321,4,4320.64310060689,4319.9892134495,4319.95885109864
2012-12-30,20:53:00,4321,4321,4320.5,4320.5,11,4320.61448048551,4320.03564859046,4319.96374837377
2012-12-30,20:54:00,4320.75,4320.75,4320.75,4320.75,1,4320.64158438841,4320.10058962769,4319.9708637731
2012-12-30,20:55:00,4320.75,4320.75,4320.5,4320.5,4,4320.61326751073,4320.13689966154,4319.97565233624
2012-12-30,20:58:00,4320.75,4320.75,4320.75,4320.75,3,4320.64061400858,4320.19263605594,4319.9826600074
2012-12-30,20:59:00,4321,4321,4321,4321,1,4320.71249120687,4320.26603277813,4319.99186670417
2012-12-30,21:01:00,4321,4321,4321,4321,1,4320.76999296549,4320.33275707103,4320.00099008241
2012-12-30,21:04:00,4320.75,4320.75,4320.75,4320.75,3,4320.7659943724,4320.37068824639,4320.00776845271
2012-12-30,21:05:00,4320.75,4320.75,4320.75,4320.75,1,4320.76279549792,4320.40517113308,4320.01448548028
2012-12-30,21:06:00,4320.75,4320.75,4320.75,4320.75,2,4320.76023639833,4320.43651921189,4320.02114172028
2012-12-30,21:07:00,4320.75,4321,4320.75,4321,4,4320.80818911867,4320.48774473808,4320.03000016625
2012-12-30,21:08:00,4321,4321,4321,4321,13,4320.84655129493,4320.53431339826,4320.03877844529
2012-12-30,21:09:00,4321.25,4321.75,4321.25,4321.25,27,4320.92724103595,4320.5993758166,4320.04973972633
2012-12-30,21:11:00,4321,4321,4321,4321,1,4320.94179282876,4320.63579619691,4320.05833936681
2012-12-30,21:12:00,4321.25,4322,4321.25,4322,27,4321.15343426301,4320.75981472446,4320.07591095625
2012-12-30,21:13:00,4321.75,4322.5,4321.75,4322.5,16,4321.4227474104,4320.91801338587,4320.09784841366
2012-12-30,21:14:00,4322.5,4323.25,4322.5,4322.75,25,4321.68819792832,4321.08455762352,4320.12184978549
2012-12-30,21:15:00,4322.5,4322.5,4322.25,4322.25,8,4321.80055834266,4321.19050693047,4320.14110906345
2012-12-30,21:16:00,4322,4322,4321.75,4321.75,11,4321.79044667413,4321.24136993679,4320.15566916242
2012-12-30,21:17:00,4321.5,4321.5,4321.5,4321.5,3,4321.7323573393,4321.26488176072,4320.16783505235
2012-12-30,21:19:00,4322.5,4322.5,4322,4322,5,4321.78588587144,4321.33171069156,4320.18441573061
2012-12-30,21:20:00,4322,4322,4322,4322,2,4321.82870869715,4321.39246426506,4320.20084635748
2012-12-30,21:21:00,4322.5,4322.75,4322,4322,13,4321.86296695772,4321.44769478642,4320.2171282909
2012-12-30,21:22:00,4322.5,4322.5,4322.5,4322.5,1,4321.99037356618,4321.54335889674,4320.23778776338
2012-12-30,21:23:00,4322.5,4322.5,4322.5,4322.5,1,4322.09229885294,4321.63032626976,4320.25826027231
2012-12-30,21:26:00,4322.25,4322.25,4322,4322,5,4322.07383908236,4321.66393297251,4320.27402262279
2012-12-30,21:27:00,4322,4322,4322,4322,1,4322.05907126589,4321.69448452047,4320.28964232756
2012-12-30,21:28:00,4322.25,4322.5,4322,4322,4,4322.04725701271,4321.72225865497,4320.30512067754
2012-12-30,21:29:00,4322.25,4322.25,4322,4322,4,4322.03780561017,4321.74750786815,4320.32045895195
2012-12-30,21:31:00,4321.5,4321.5,4321,4321,10,4321.83024448813,4321.67955260741,4320.32660864469
2012-12-30,21:32:00,4321,4321.25,4321,4321.25,8,4321.71419559051,4321.64050237037,4320.33496512755
2012-12-30,21:33:00,4321.5,4321.75,4321.5,4321.75,16,4321.72135647241,4321.65045670034,4320.347770873
2012-12-30,21:34:00,4321.5,4321.5,4321.5,4321.5,4,4321.67708517792,4321.63677881849,4320.35819828591
2012-12-30,21:36:00,4321.25,4321.25,4321.25,4321.25,1,4321.59166814234,4321.60161710772,4320.36626888966
2012-12-30,21:37:00,4321.5,4321.5,4321.5,4321.5,1,4321.57333451387,4321.59237918883,4320.37652889971
2012-12-30,21:38:00,4321.5,4321.5,4321.5,4321.5,2,4321.5586676111,4321.58398108076,4320.38669605899
2012-12-30,21:39:00,4321.25,4321.25,4321,4321,4,4321.44693408888,4321.5308918916,4320.3922463209
2012-12-30,21:40:00,4321.25,4321.25,4321.25,4321.25,3,4321.4075472711,4321.50535626509,4320.40000879763
2012-12-30,21:41:00,4321.25,4321.5,4321.25,4321.5,3,4321.42603781688,4321.5048693319,4320.40996346914
2012-12-30,21:42:00,4322,4322,4321.75,4321.75,5,4321.49083025351,4321.52715393809,4320.42209049657
2012-12-30,21:43:00,4321.75,4321.75,4321.25,4321.25,6,4321.44266420281,4321.50195812554,4320.42958289027
2012-12-30,21:44:00,4322,4322,4322,4322,3,4321.55413136225,4321.54723465958,4320.44379480981
2012-12-30,21:46:00,4322,4322,4322,4322,1,4321.6433050898,4321.58839514507,4320.4578781147
2012-12-30,21:47:00,4322,4322.25,4322,4322.25,2,4321.76464407184,4321.64854104097,4320.47409641231
2012-12-30,21:48:00,4322.25,4322.25,4322.25,4322.25,3,4321.86171525747,4321.70321912816,4320.49016793799
2012-12-30,21:49:00,4322.5,4322.5,4322.5,4322.5,4,4321.98937220598,4321.77565375287,4320.50835646344
2012-12-30,21:50:00,4321.75,4321.75,4321.75,4321.75,1,4321.94149776478,4321.77332159352,4320.51959305653
2012-12-30,21:52:00,4321.25,4321.25,4321.25,4321.25,4,4321.80319821182,4321.7257469032,4320.52620307412
2012-12-30,21:53:00,4321.5,4321.5,4321.5,4321.5,1,4321.74255856946,4321.70522445745,4320.53501571598
2012-12-30,21:54:00,4321.5,4321.5,4321.5,4321.5,1,4321.69404685557,4321.68656768859,4320.54374860543
2012-12-30,21:55:00,4321,4321,4321,4321,3,4321.55523748445,4321.62415244417,4320.54787757732
2012-12-30,21:56:00,4321.25,4321.75,4321.25,4321.75,9,4321.59418998756,4321.63559313107,4320.55875651328
2012-12-30,21:57:00,4321.5,4321.5,4321.5,4321.5,1,4321.57535199005,4321.62326648279,4320.56727455388
2012-12-30,21:58:00,4321,4321,4321,4321,1,4321.46028159204,4321.56660589344,4320.57119062126
2012-12-30,21:59:00,4321.25,4321.25,4321.25,4321.25,1,4321.41822527363,4321.5378235395,4320.57733369257
2012-12-30,22:00:00,4320.75,4320.75,4320.75,4320.75,3,4321.28458021891,4321.46620321772,4320.57889628358
2012-12-30,22:01:00,4320.75,4320.75,4320.75,4320.75,1,4321.17766417513,4321.40109383429,4320.58044473351
2012-12-30,22:02:00,4321,4321,4321,4321,2,4321.1421313401,4321.36463075845,4320.58424161375
2012-12-30,22:03:00,4321,4321.25,4321,4321.25,2,4321.16370507208,4321.35420978041,4320.59026657652
2012-12-30,22:04:00,4321,4321,4320.75,4320.75,5,4321.08096405766,4321.29928161855,4320.59171212786
